artist,song,Danceability
ABBA,Under Attack,89
ABBA,Under Attack,89
ABBA,You Owe Me One,87
ABBA,Sitting In The Palmtree,86
ABBA,As Good As New,85
ABBA,Juper Jrouper,83
ABBA,Head Over Heels,83
ABBA,Head Over Heels,83
ABBA,The Day Before You Came,80
ABBA,The Day Before You Came,80
ABBA,Money Money Money,79
ABBA,Money Money Money,79
ABBA,I Am The City,77
ABBA,Me And Bobby And Bobby's Brother,76
ABBA,Should I Laugh Or Cry,76
ABBA,I Saw It In The Mirror,76
ABBA,Super Trouper,76
ABBA,Gimme Gimme Gimme,75
ABBA,Mamma Mia,75
ABBA,Mamma Mia,75
ABBA,Gimme Gimme Gimme A Man After Midnight,75
ABBA,"Nina, Pretty Ballerina",74
ABBA,Fernando (In Spanish),73
ABBA,Does Your Mother Know,73
ABBA,Does Your Mother Know,73
ABBA,Love Isn't Easy,73
ABBA,Dont Shut Me Down,72
ABBA,The King Has Lost His Crown,72
ABBA,When All Is Said And Done,72
ABBA,When All Is Said and Done,72
ABBA,Angeleyes,72
ABBA,Voulez-Vous,71
ABBA,Voulez Vous,71
ABBA,On And On And On,71
ABBA,On and On and On,71
ABBA,If It Wasn't For The Nights,70
ABBA,If It Wasnt for the Nights,70
ABBA,What About Livingstone,69
ABBA,Two for the Price of One,69
ABBA,Rock Me,69
ABBA,Two For The Price Of One,69
ABBA,Take a Chance on Me,68
ABBA,Take A Chance On Me,68
ABBA,Take A Chance,68
ABBA,Lay All Your Love on Me,68
ABBA,S. O. S.,68
ABBA,Lay All Your Love On Me,68
ABBA,S.O.S.,68
ABBA,Dum Dum Diddle,67
ABBA,Keep an Eye on Dan,67
ABBA,Me And I,66
ABBA,The Name Of The Game,66
ABBA,The Name of the Game,66
ABBA,Tropical Loveland,66
ABBA,Me and I,66
ABBA,Hamlet III,66
ABBA,One Of Us,65
ABBA,Hey Hey Helen,65
ABBA,One of Us,65
ABBA,Little Things,65
ABBA,Man In The Middle,65
ABBA,Dream World,64
ABBA,The Visitors,63
ABBA,The Visitors,63
ABBA,Gonna Sing You My Lovesong,63
ABBA,No Doubt About It,62
ABBA,Watch Out,61
ABBA,My Mama Said,60
ABBA,Kisses of Fire,59
ABBA,I Can Be That Woman,59
ABBA,Kisses Of Fire,59
ABBA,Reina Danzante,59
ABBA,Just A Notion,58
ABBA,Dance,58
ABBA,Disillusion,58
ABBA,Just a Notion,58
ABBA,Tiger,57
ABBA,Tiger,57
ABBA,Rock 'n Roll Band,57
ABBA,People Need Love,57
ABBA,Move On,57
ABBA,Move On,57
ABBA,Why Did It Have to Be Me?,56
ABBA,Why Did It Have To Be Me?,56
ABBA,That's Me,56
ABBA,She's My Kind Of Girl,56
ABBA,Soldiers,56
ABBA,Lovelight,56
ABBA,Thats Me,56
ABBA,Ring Ring,56
ABBA,Ring Ring,56
ABBA,I Have A Dream,55
ABBA,Knowing Me Knowing You,55
ABBA,Every Good Man,55
ABBA,Knowing Me Knowing You,55
ABBA,I Have a Dream,55
ABBA,Dancing Queen,54
ABBA,Dancing Queen,54
ABBA,When I Kissed The Teacher,53
ABBA,When I Kissed the Teacher,53
ABBA,Lovers,52
ABBA,Lovers Live a Little Longer,52
ABBA,King Kong Song,52
ABBA,Andante Andante,52
ABBA,"Andante, Andante",52
ABBA,Happy Hawaii,52
ABBA,Crying Over You,51
ABBA,Happy New Year,51
ABBA,Happy New Year,51
ABBA,Our Last Summer,50
ABBA,Crazy World,50
ABBA,Chiquitita,50
ABBA,Our Last Summer,50
ABBA,Bang-A-Boomerang,50
ABBA,Bang,50
ABBA,Chiquitita,50
ABBA,Merry-Go-Round,50
ABBA,Slipping Through My Fingers,49
ABBA,Eagle,48
ABBA,When You Danced with Me,48
ABBA,Summer Night City,48
ABBA,Slipping Through My Fingers,48
ABBA,Eagle,48
ABBA,"One Man, One Woman",48
ABBA,"Honey, Honey",47
ABBA,Honey Honey,47
ABBA,Bumblebee,46
ABBA,Like An Angel Passing Through My Room,46
ABBA,"I Do, I Do, I Do, I Do, I Do",46
ABBA,Put On Your White Sombrero,46
ABBA,I'm A Marionette,46
ABBA,I Do I Do I Do I Do I Do,46
ABBA,The Winner Takes It All,45
ABBA,The Winner Takes It All,45
ABBA,Waterloo,44
ABBA,Love Has It's Ways,44
ABBA,Waterloo,44
ABBA,I Am Just A Girl,42
ABBA,Rubber Ball Man,42
ABBA,He Is Your Brother,42
ABBA,The Piper,42
ABBA,SOS,42
ABBA,The Piper,42
ABBA,Burning My Bridges,40
ABBA,Givin' A Little Bit More,40
ABBA,Here We'll Stay,40
ABBA,Free As A Bumble Bee,40
ABBA,From A Twinkling Star To A Passing Angel,40
ABBA,Hole In Your Soul,40
ABBA,Hole in Your Soul,40
ABBA,Rikky Rock'n'Roller,40
ABBA,I've Been Waiting For You,39
ABBA,Ive Been Waiting for You,39
ABBA,I Let The Music Speak,39
ABBA,I Wonder Departure,38
ABBA,Midnight Special,38
ABBA,I Wonder (Departure),37
ABBA,I Wonder (Departure) [Live],36
ABBA,Ode to Freedom,35
ABBA,Fernando,35
ABBA,Fernando,35
ABBA,Pick A Bale Of Cotton,34
ABBA,Cassandra,32
ABBA,Cassandra,32
ABBA,So Long,31
ABBA,So Long,31
ABBA,Thank You For The Music,28
ABBA,Thank You for the Music,28
ABBA,We Wish You A Merry Christmas,27
ABBA,"My Love, My Life",21
ABBA,My Love My Life,21
ABBA,I Still Have Faith in You,21
ABBA,Suzy-Hang-Around,21
ABBA,The Way Old Friends Do,10
ABBA,The Way Old Friends Do Live,10
